Sr. No. ,Country ,State ,District ,City/Village/Area,Pincode
13790,India,Uttar Pradesh,Allahabad,Lalgopal Ganj,229413
13791,India,Uttar Pradesh,Allahabad,Leader,211001
13792,India,Uttar Pradesh,Allahabad,Leelapur Kala,221505
13793,India,Uttar Pradesh,Allahabad,Lendiyari,212106
13794,India,Uttar Pradesh,Allahabad,Leondi,212107
13795,India,Uttar Pradesh,Allahabad,Lohari,212305
13796,India,Uttar Pradesh,Allahabad,Lohgara,212107
13797,India,Uttar Pradesh,Allahabad,Lokmanpur,221502
13798,India,Uttar Pradesh,Allahabad,Lotarh,212303
13799,India,Uttar Pradesh,Allahabad,Lutar,212302
13800,India,Uttar Pradesh,Allahabad,M G Marg,211001
13801,India,Uttar Pradesh,Allahabad,M L N Engg.Coll.,211004
13802,India,Uttar Pradesh,Allahabad,Madar,212104
13803,India,Uttar Pradesh,Allahabad,Madhonagar Bigahia,211013
13804,India,Uttar Pradesh,Allahabad,Madra Mukundpur,212305
13805,India,Uttar Pradesh,Allahabad,Mahajna,221502
13806,India,Uttar Pradesh,Allahabad,Maharchha,212401
13807,India,Uttar Pradesh,Allahabad,Mahori,212307
13808,India,Uttar Pradesh,Allahabad,Mahuli,212306
13809,India,Uttar Pradesh,Allahabad,Maida,212106
13810,India,Uttar Pradesh,Allahabad,Mailahan,212402
13811,India,Uttar Pradesh,Allahabad,Majhigaown,212104
13812,India,Uttar Pradesh,Allahabad,Makdoompur Dhoksaha,212216
13813,India,Uttar Pradesh,Allahabad,Malak Harhar,211013
13814,India,Uttar Pradesh,Allahabad,Malaka,211001
13815,India,Uttar Pradesh,Allahabad,Malawan Khurd,211019
13816,India,Uttar Pradesh,Allahabad,Manauri AF,212212
13817,India,Uttar Pradesh,Allahabad,Manauri,212208
13818,India,Uttar Pradesh,Allahabad,Manda,212104
13819,India,Uttar Pradesh,Allahabad,Mandardeeh Mafi,211012
13820,India,Uttar Pradesh,Allahabad,Mandwa Bazar,212401
13821,India,Uttar Pradesh,Allahabad,Manpur,212107
13822,India,Uttar Pradesh,Allahabad,Mansoorabad,229411
13823,India,Uttar Pradesh,Allahabad,Maohar,212216
13824,India,Uttar Pradesh,Allahabad,Masauli,212303
13825,India,Uttar Pradesh,Allahabad,Masni Jagdishpur,229412
13826,India,Uttar Pradesh,Allahabad,Mau Aima,212507
13827,India,Uttar Pradesh,Allahabad,Mawaiya Hindwani,221503
13828,India,Uttar Pradesh,Allahabad,Mehraunda,212507
13829,India,Uttar Pradesh,Allahabad,Meja Road,212303
13830,India,Uttar Pradesh,Allahabad,Meja,212302
13831,India,Uttar Pradesh,Allahabad,Mendara,229411
13832,India,Uttar Pradesh,Allahabad,Mendewa,221507
13833,India,Uttar Pradesh,Allahabad,Misirpur,212306
13834,India,Uttar Pradesh,Allahabad,Mohabbatganj Uparhar,211007
13835,India,Uttar Pradesh,Allahabad,Mohd.Pur Gheempur,212507
13836,India,Uttar Pradesh,Allahabad,Mohdpur Taluka,212208
13837,India,Uttar Pradesh,Allahabad,Mohiuddinpur,212216
13838,India,Uttar Pradesh,Allahabad,Motiha,221508
13839,India,Uttar Pradesh,Allahabad,Mubarakpur,229412
13840,India,Uttar Pradesh,Allahabad,Mugarshan,221505
13841,India,Uttar Pradesh,Allahabad,Mukundpur,212503
13842,India,Uttar Pradesh,Allahabad,Mungari,212301
13843,India,Uttar Pradesh,Allahabad,Muratganj ED,212201
13844,India,Uttar Pradesh,Allahabad,Mutthiganj,211003
13845,India,Uttar Pradesh,Allahabad,Naganpur,212107
13846,India,Uttar Pradesh,Allahabad,Nahwai ED,212104
13847,India,Uttar Pradesh,Allahabad,Nai Bazar,212507
13848,India,Uttar Pradesh,Allahabad,Naini Pac,211008
13849,India,Uttar Pradesh,Allahabad,Naini,211008
13850,India,Uttar Pradesh,Allahabad,Narainganj,212507
13851,India,Uttar Pradesh,Allahabad,Nari Bari ED,212106
13852,India,Uttar Pradesh,Allahabad,Nasratpur,212502
13853,India,Uttar Pradesh,Allahabad,Nathupur,212306
13854,India,Uttar Pradesh,Allahabad,Naudhiya Tarhar,212107
13855,India,Uttar Pradesh,Allahabad,Nayanwar,212107
13856,India,Uttar Pradesh,Allahabad,Nehru Nagar,211003
13857,India,Uttar Pradesh,Allahabad,New Bairahana,211003
13858,India,Uttar Pradesh,Allahabad,Newada,212218
13859,India,Uttar Pradesh,Allahabad,Newadhiya,212303
13860,India,Uttar Pradesh,Allahabad,Newadhiya Uparhar,212108
13861,India,Uttar Pradesh,Allahabad,Nibaiya,212303
13862,India,Uttar Pradesh,Allahabad,Nibi,211008
13863,India,Uttar Pradesh,Allahabad,Nibi Bari,212401
13864,India,Uttar Pradesh,Allahabad,Nibi Kalan,211019
13865,India,Uttar Pradesh,Allahabad,Nindula,212401
13866,India,Uttar Pradesh,Allahabad,Nindura,229413
13867,India,Uttar Pradesh,Allahabad,Niralachowk,211006
13868,India,Uttar Pradesh,Allahabad,Niyayipur,212503
13869,India,Uttar Pradesh,Allahabad,Othgi Tarhar,212107
13870,India,Uttar Pradesh,Allahabad,Pachdeora,229412
13871,India,Uttar Pradesh,Allahabad,Pachera,212306
13872,India,Uttar Pradesh,Allahabad,Paintiha,212306
13873,India,Uttar Pradesh,Allahabad,Palpatti,212106
13874,India,Uttar Pradesh,Allahabad,Panasa,212307
13875,India,Uttar Pradesh,Allahabad,Panduwa,212107
13876,India,Uttar Pradesh,Allahabad,Panwar,212107
13877,India,Uttar Pradesh,Allahabad,Panwari,212106
13878,India,Uttar Pradesh,Allahabad,Paranipur,212305
13879,India,Uttar Pradesh,Allahabad,Parewa Narainpur,229413
13880,India,Uttar Pradesh,Allahabad,Pasna,212302
13881,India,Uttar Pradesh,Allahabad,Pathra,212301
13882,India,Uttar Pradesh,Allahabad,Patwa,212401
13883,India,Uttar Pradesh,Allahabad,Phaphamau,211013
13884,India,Uttar Pradesh,Allahabad,Phoolpur,212402
13885,India,Uttar Pradesh,Allahabad,Pindi,212301
13886,India,Uttar Pradesh,Allahabad,Pipalgaon,211012
13887,India,Uttar Pradesh,Allahabad,Pipari,212401
13888,India,Uttar Pradesh,Allahabad,Pipraon,212301
13889,India,Uttar Pradesh,Allahabad,Piyari Urf Bijlipur,229413
13890,India,Uttar Pradesh,Allahabad,Pratappur,212402
13891,India,Uttar Pradesh,Allahabad,Prayag Mahila Vidyapith,211003
13892,India,Uttar Pradesh,Allahabad,Prayag,211002
13893,India,Uttar Pradesh,Allahabad,Prem Misirpur Korali,229411
13894,India,Uttar Pradesh,Allahabad,Prem Nagar Chauraha,212502
13895,India,Uttar Pradesh,Allahabad,Prithvipur,221503
13896,India,Uttar Pradesh,Allahabad,Public Service Commission,211018
13897,India,Uttar Pradesh,Allahabad,Purabnara,212503
13898,India,Uttar Pradesh,Allahabad,Pure Ghasi,229411
13899,India,Uttar Pradesh,Allahabad,Pure Kanta,221502
13900,India,Uttar Pradesh,Allahabad,Purkhas,212218
13901,India,Uttar Pradesh,Allahabad,Purshottam Nagar,211016
13902,India,Uttar Pradesh,Allahabad,Purwa Khas,212111
13903,India,Uttar Pradesh,Allahabad,Rajapur,211002
13904,India,Uttar Pradesh,Allahabad,Rajrooppur,211011
13905,India,Uttar Pradesh,Allahabad,Ramaipur,221505
13906,India,Uttar Pradesh,Allahabad,Ramgarh,212306
13907,India,Uttar Pradesh,Allahabad,Ramgarh Kothari,212402
13908,India,Uttar Pradesh,Allahabad,Ramnagar,212305
13909,India,Uttar Pradesh,Allahabad,Rampur Kalan,212306
13910,India,Uttar Pradesh,Allahabad,Rampur Kotwa,229413
13911,India,Uttar Pradesh,Allahabad,Ranipur,211002
13912,India,Uttar Pradesh,Allahabad,Rokari,212307
13913,India,Uttar Pradesh,Allahabad,S N Marg,211001
13914,India,Uttar Pradesh,Allahabad,S R Marg,211003
13915,India,Uttar Pradesh,Allahabad,Sahson,221507
13916,India,Uttar Pradesh,Allahabad,Saidabad,221508
13917,India,Uttar Pradesh,Allahabad,Saji,212306
13918,India,Uttar Pradesh,Allahabad,Sallahpur,212208
13919,India,Uttar Pradesh,Allahabad,Samhan,212303
13920,India,Uttar Pradesh,Allahabad,Sansarpur,212306
13921,India,Uttar Pradesh,Allahabad,Sarai Inayat,221505
13922,India,Uttar Pradesh,Allahabad,Sarai Madan Urf Chanti,212503
13923,India,Uttar Pradesh,Allahabad,Saraj Mamrej,212402
13924,India,Uttar Pradesh,Allahabad,Saraswatipur Urf Kaudhiyar,229412
13925,India,Uttar Pradesh,Allahabad,Satti Chaura,211003
13926,India,Uttar Pradesh,Allahabad,Sawrai Buzurg,212204
13927,India,Uttar Pradesh,Allahabad,Sayed Serawan,212213
13928,India,Uttar Pradesh,Allahabad,Serawan,229412
13929,India,Uttar Pradesh,Allahabad,Sewaith,211013
13930,India,Uttar Pradesh,Allahabad,Shahipur,221503
13931,India,Uttar Pradesh,Allahabad,Shaikhpur Rasoolpur,212208
13932,India,Uttar Pradesh,Allahabad,Shankargarh,212108
13933,India,Uttar Pradesh,Allahabad,Shergarh,211012
13934,India,Uttar Pradesh,Allahabad,Shivgarh,212502
13935,India,Uttar Pradesh,Allahabad,Shringverpur,229411
13936,India,Uttar Pradesh,Allahabad,Shukulpur,212104
13937,India,Uttar Pradesh,Allahabad,Shukulpur ED,212305
13938,India,Uttar Pradesh,Allahabad,Sikandarpur Bazha,212213
13939,India,Uttar Pradesh,Allahabad,Sikandra,212109
13940,India,Uttar Pradesh,Allahabad,Sikikhurda,221508
13941,India,Uttar Pradesh,Allahabad,Silaundhi,212301
13942,India,Uttar Pradesh,Allahabad,Singra Mau,221507
13943,India,Uttar Pradesh,Allahabad,Sirsa Chauraha,221503
13944,India,Uttar Pradesh,Allahabad,Sirsa,212305
13945,India,Uttar Pradesh,Allahabad,Siswan,212507
13946,India,Uttar Pradesh,Allahabad,Siyadeeh,221503
13947,India,Uttar Pradesh,Allahabad,Sohbatia Bagh,211006
13948,India,Uttar Pradesh,Allahabad,Sonai,212301
13949,India,Uttar Pradesh,Allahabad,Sonversa,212104
13950,India,Uttar Pradesh,Allahabad,Soraon,212502
13951,India,Uttar Pradesh,Allahabad,Soron,212405
13952,India,Uttar Pradesh,Allahabad,Subedarganj,211015
13953,India,Uttar Pradesh,Allahabad,Subhash Ngr,211002
13954,India,Uttar Pradesh,Allahabad,Sujani,212106
13955,India,Uttar Pradesh,Allahabad,Sulem Sarai,211011
13956,India,Uttar Pradesh,Allahabad,T S L,211010
13957,India,Uttar Pradesh,Allahabad,Tagore Town,211002
13958,India,Uttar Pradesh,Allahabad,Tatarganj,212107
13959,India,Uttar Pradesh,Allahabad,Tejpur,212507
13960,India,Uttar Pradesh,Allahabad,Tela,221502
13961,India,Uttar Pradesh,Allahabad,Tigza,212302
13962,India,Uttar Pradesh,Allahabad,Tilakhwar,212301
13963,India,Uttar Pradesh,Allahabad,Tirath Raj Aushadhalaya,211003
13964,India,Uttar Pradesh,Allahabad,Trisentulapur,212104
13965,India,Uttar Pradesh,Allahabad,Triveni Marg,211003
13966,India,Uttar Pradesh,Allahabad,Udyog Nagar,211009
13967,India,Uttar Pradesh,Allahabad,Ugrasen Pur,212405
13968,India,Uttar Pradesh,Allahabad,Ulda,229412
13969,India,Uttar Pradesh,Allahabad,Umari,221507
13970,India,Uttar Pradesh,Allahabad,Umariasari,212507
13971,India,Uttar Pradesh,Allahabad,Umarpur Neewan,211011
13972,India,Uttar Pradesh,Allahabad,Unchdeeh,212305
13973,India,Uttar Pradesh,Allahabad,University,211002
13974,India,Uttar Pradesh,Allahabad,Upraura,212305
13975,India,Uttar Pradesh,Allahabad,Uruwa,212303
13976,India,Uttar Pradesh,Allahabad,Utraon,221508
13977,India,Uttar Pradesh,Allahabad,V N Marg,211003
13978,India,Uttar Pradesh,Allahabad,Zera,212303
13979,India,Uttar Pradesh,Bareilly,Abhayrajpur,262406
13980,India,Uttar Pradesh,Bareilly,Agras,243501
13981,India,Uttar Pradesh,Bareilly,Ahemdabad,243407
13982,India,Uttar Pradesh,Bareilly,Air Force Station Bareilly,243002
13983,India,Uttar Pradesh,Bareilly,Akha,243004
13984,India,Uttar Pradesh,Bareilly,Alahiya,262406
13985,India,Uttar Pradesh,Bareilly,Alampur Jafarabad,243401
13986,India,Uttar Pradesh,Bareilly,Aliganj,243302
13987,India,Uttar Pradesh,Bareilly,Angadpur Khamaria,243503
13988,India,Uttar Pradesh,Bareilly,Anurudhpur,243302
13989,India,Uttar Pradesh,Bareilly,Aonla Katra,243301
13990,India,Uttar Pradesh,Bareilly,Aonla Kila,243301
13991,India,Uttar Pradesh,Bareilly,Aonla,243301
13992,India,Uttar Pradesh,Bareilly,Atamanda,243202
13993,India,Uttar Pradesh,Bareilly,Atarchhedi,243302
13994,India,Uttar Pradesh,Bareilly,Athana,243503
13995,India,Uttar Pradesh,Bareilly,Attangachandpur,262406
13996,India,Uttar Pradesh,Bareilly,Aundh,243501
13997,India,Uttar Pradesh,Bareilly,B R Factory,243501
13998,India,Uttar Pradesh,Bareilly,Baboora,262406
13999,India,Uttar Pradesh,Bareilly,Baheri,243201
14000,India,Uttar Pradesh,Bareilly,Bairamnagar,243505
14001,India,Uttar Pradesh,Bareilly,Balai Bhagwantpur,243302
14002,India,Uttar Pradesh,Bareilly,Balipur,243123
14003,India,Uttar Pradesh,Bareilly,Baljati,243003
14004,India,Uttar Pradesh,Bareilly,Balli,243505
14005,India,Uttar Pradesh,Bareilly,Ballia,243402
14006,India,Uttar Pradesh,Bareilly,Bapu Nagar,262406
14007,India,Uttar Pradesh,Bareilly,Baragoan,243303
14008,India,Uttar Pradesh,Bareilly,Baraur,243407
14009,India,Uttar Pradesh,Bareilly,Bareilly Cantt,243001
14010,India,Uttar Pradesh,Bareilly,Bareilly City,243003
14011,India,Uttar Pradesh,Bareilly,Bareilly College,243001
14012,India,Uttar Pradesh,Bareilly,Bareilly,243001
14013,India,Uttar Pradesh,Bareilly,Bareilly Kty,243001
14014,India,Uttar Pradesh,Bareilly,Bareilly R.S,243001
14015,India,Uttar Pradesh,Bareilly,Bargawan,243506
14016,India,Uttar Pradesh,Bareilly,Barhepura,243407
14017,India,Uttar Pradesh,Bareilly,Barser Sikandarpur,243303
14018,India,Uttar Pradesh,Bareilly,Basantpur,243303
14019,India,Uttar Pradesh,Bareilly,Basudharan,243203
14020,India,Uttar Pradesh,Bareilly,Behroli,243504
14021,India,Uttar Pradesh,Bareilly,Beodhan Khurd,243303
14022,India,Uttar Pradesh,Bareilly,Bhadpura,262406
14023,India,Uttar Pradesh,Bareilly,Bhairpura,243202
14024,India,Uttar Pradesh,Bareilly,Bhamora,243401
14025,India,Uttar Pradesh,Bareilly,Bhandsar,243122
14026,India,Uttar Pradesh,Bareilly,Bhauwa Bazar,262406
14027,India,Uttar Pradesh,Bareilly,Bhikaripur,262201
14028,India,Uttar Pradesh,Bareilly,Bhitaura,243501
14029,India,Uttar Pradesh,Bareilly,Bhojipura,243202
14030,India,Uttar Pradesh,Bareilly,Bhura Bahadur Pur,243201
14031,India,Uttar Pradesh,Bareilly,Bhuta,243126
14032,India,Uttar Pradesh,Bareilly,Biharman Nagla,243122
14033,India,Uttar Pradesh,Bareilly,Bijamau,262406
14034,India,Uttar Pradesh,Bareilly,Bilasnagar,262406
14035,India,Uttar Pradesh,Bareilly,Bilwa,243202
14036,India,Uttar Pradesh,Bareilly,Bisharatganj,243302
14037,India,Uttar Pradesh,Bareilly,Bithri Chainpur,243123
14038,India,Uttar Pradesh,Bareilly,Bohit,243502
14039,India,Uttar Pradesh,Bareilly,Budhauuli,243503
14040,India,Uttar Pradesh,Bareilly,C.A.R.I,243122
14041,India,Uttar Pradesh,Bareilly,C.B. Ganj,243502
14042,India,Uttar Pradesh,Bareilly,Chakdah,243202
14043,India,Uttar Pradesh,Bareilly,Chanehti,243004
14044,India,Uttar Pradesh,Bareilly,Chathia,243203
14045,India,Uttar Pradesh,Bareilly,Chaubari,243004
14046,India,Uttar Pradesh,Bareilly,Chaupla,243001
14047,India,Uttar Pradesh,Bareilly,Dalelnagar,262406
14048,India,Uttar Pradesh,Bareilly,Dalpura,243503
14049,India,Uttar Pradesh,Bareilly,Damkhoda,243201
14050,India,Uttar Pradesh,Bareilly,Dandia Nagla,243201
14051,India,Uttar Pradesh,Bareilly,Dauli Raghuwar Dayal,243502
14052,India,Uttar Pradesh,Bareilly,Deochara,243401
14053,India,Uttar Pradesh,Bareilly,Deorania,243203
14054,India,Uttar Pradesh,Bareilly,Dhakni Rajpuri,243503
14055,India,Uttar Pradesh,Bareilly,Dhaneli,243505
14056,India,Uttar Pradesh,Bareilly,Dhaneta,243504
14057,India,Uttar Pradesh,Bareilly,Dhaura,243202
14058,India,Uttar Pradesh,Bareilly,Dhaurera,262406
14059,India,Uttar Pradesh,Bareilly,Dibna,243504
14060,India,Uttar Pradesh,Bareilly,Digoi,243301
14061,India,Uttar Pradesh,Bareilly,DOHRIYA,243126
14062,India,Uttar Pradesh,Bareilly,Dunda Sumali,243201
14063,India,Uttar Pradesh,Bareilly,Dunka,243505
14064,India,Uttar Pradesh,Bareilly,Faiznagar,243503
14065,India,Uttar Pradesh,Bareilly,Faridpur,243201
14066,India,Uttar Pradesh,Bareilly,Faridpur,243503
14067,India,Uttar Pradesh,Bareilly,Fateh Ganj (E),243506
14068,India,Uttar Pradesh,Bareilly,Gaini,243302
14069,India,Uttar Pradesh,Bareilly,Gauntara,243502
14070,India,Uttar Pradesh,Bareilly,Gehluiya,243505
14071,India,Uttar Pradesh,Bareilly,Ghunsa,243502
14072,India,Uttar Pradesh,Bareilly,Girdharpur,243201
14073,India,Uttar Pradesh,Bareilly,Goola,243504
14074,India,Uttar Pradesh,Bareilly,Gotha Khandua,243301
14075,India,Uttar Pradesh,Bareilly,Grem,243407
14076,India,Uttar Pradesh,Bareilly,Gugai,243504
14077,India,Uttar Pradesh,Bareilly,Gulab Nagar,243003
14078,India,Uttar Pradesh,Bareilly,Gularia,243504
14079,India,Uttar Pradesh,Bareilly,Gularia Mohammad Hussain,243203
14080,India,Uttar Pradesh,Bareilly,Guleli,243301
14081,India,Uttar Pradesh,Bareilly,Gurgaon,243303
14082,India,Uttar Pradesh,Bareilly,Hafizganj,243407
14083,India,Uttar Pradesh,Bareilly,Haldi,243505
14084,India,Uttar Pradesh,Bareilly,Haraulia,243004
14085,India,Uttar Pradesh,Bareilly,Hardaspur,243303
14086,India,Uttar Pradesh,Bareilly,Harharpur,243407
14087,India,Uttar Pradesh,Bareilly,Hazipur Khazuria B,243503
14088,India,Uttar Pradesh,Bareilly,Himmatpur,243402
14089,India,Uttar Pradesh,Bareilly,Hurhuri,243504
14090,India,Uttar Pradesh,Bareilly,Iffcotownship,243403
14091,India,Uttar Pradesh,Bareilly,Itau Dhura,243201
14092,India,Uttar Pradesh,Bareilly,ITBP Bareilly,243004
14093,India,Uttar Pradesh,Bareilly,Izzat Nagar,243122
14094,India,Uttar Pradesh,Bareilly,Jaraul,243506
14095,India,Uttar Pradesh,Bareilly,Jasai Nagar,243201
14096,India,Uttar Pradesh,Bareilly,Jeoti Jagir,262406
14097,India,Uttar Pradesh,Bareilly,Jitaur,243302
14098,India,Uttar Pradesh,Bareilly,Jogither,243502
14099,India,Uttar Pradesh,Bareilly,Jokhanpur,243201
14100,India,Uttar Pradesh,Bareilly,Junahi,243505
14101,India,Uttar Pradesh,Bareilly,K.K.Niazia,243003
14102,India,Uttar Pradesh,Bareilly,K.S.W.Tulsi Nagar,243201
14103,India,Uttar Pradesh,Bareilly,Kaimua,243402
14104,India,Uttar Pradesh,Bareilly,Kakra Kalan,243503
14105,India,Uttar Pradesh,Bareilly,Kalyanpur,243302
14106,India,Uttar Pradesh,Bareilly,Kanakpuri,243505
14107,India,Uttar Pradesh,Bareilly,Kangaon,243301
14108,India,Uttar Pradesh,Bareilly,Kangawan Shyam,243303
14109,India,Uttar Pradesh,Bareilly,Kanman,243203
14110,India,Uttar Pradesh,Bareilly,Kareli,243004
14111,India,Uttar Pradesh,Bareilly,Karunapur Karoor,262203
14112,India,Uttar Pradesh,Bareilly,Kasumara,243301
14113,India,Uttar Pradesh,Bareilly,Katsari,243301
14114,India,Uttar Pradesh,Bareilly,Keolaria,262406
14115,India,Uttar Pradesh,Bareilly,Kesarpur,243303
14116,India,Uttar Pradesh,Bareilly,Khajuria Sriram,262406
14117,India,Uttar Pradesh,Bareilly,Khalilpur,243502
14118,India,Uttar Pradesh,Bareilly,Khanpur,243202
14119,India,Uttar Pradesh,Bareilly,Khateli,243503
14120,India,Uttar Pradesh,Bareilly,Khazuria Sampat,243123
14121,India,Uttar Pradesh,Bareilly,Khelam,243302
14122,India,Uttar Pradesh,Bareilly,Khera Ramnagar,243203
14123,India,Uttar Pradesh,Bareilly,Kiara,243004
14124,India,Uttar Pradesh,Bareilly,Kila,243003
14125,India,Uttar Pradesh,Bareilly,Koharapeer,243003
14126,India,Uttar Pradesh,Bareilly,Kuan Tanda,243503
14127,India,Uttar Pradesh,Bareilly,Kudha,243401
14128,India,Uttar Pradesh,Bareilly,Kulchha,243505
14129,India,Uttar Pradesh,Bareilly,Kundaria Faizulapur,243302
14130,India,Uttar Pradesh,Bareilly,Kunwar Pur,243003
14131,India,Uttar Pradesh,Bareilly,Kunwarpur Banzaria,243123
14132,India,Uttar Pradesh,Bareilly,Kusari,243401
14133,India,Uttar Pradesh,Bareilly,Labhari,243303
14134,India,Uttar Pradesh,Bareilly,Langura,243402
14135,India,Uttar Pradesh,Bareilly,Laungpur,243503
14136,India,Uttar Pradesh,Bareilly,Lilaur,243303
14137,India,Uttar Pradesh,Bareilly,Mahanagar,243006
14138,India,Uttar Pradesh,Bareilly,Majhgawan,243302
14139,India,Uttar Pradesh,Bareilly,Majhola,262302
14140,India,Uttar Pradesh,Bareilly,Malgoan,243403
14141,India,Uttar Pradesh,Bareilly,Malook Pur,243003
14142,India,Uttar Pradesh,Bareilly,Man Pur,243201
14143,India,Uttar Pradesh,Bareilly,Mandanpur,243504
14144,India,Uttar Pradesh,Bareilly,Mandauli,243502
14145,India,Uttar Pradesh,Bareilly,Mandora,243302
14146,India,Uttar Pradesh,Bareilly,Mango Road,243001
14147,India,Uttar Pradesh,Bareilly,Manona,243301
14148,India,Uttar Pradesh,Bareilly,Marhi Sukatia,243503
14149,India,Uttar Pradesh,Bareilly,Marhinath Road,243001
14150,India,Uttar Pradesh,Bareilly,Masjid Domni,243003
14151,India,Uttar Pradesh,Bareilly,Mau Chandpur,243303
14152,India,Uttar Pradesh,Bareilly,Mawai Kazian,243505
14153,India,Uttar Pradesh,Bareilly,Meerapur Rafiabad,243501
14154,India,Uttar Pradesh,Bareilly,Meerganj,243504
14155,India,Uttar Pradesh,Bareilly,Mehmoodpur,243301
14156,India,Uttar Pradesh,Bareilly,Mehmoodpur,243505
14157,India,Uttar Pradesh,Bareilly,Mehtarpur,243123
14158,India,Uttar Pradesh,Bareilly,Milak Majhera,243402
14159,India,Uttar Pradesh,Bareilly,Mission Hospital,243001
14160,India,Uttar Pradesh,Bareilly,Mohammad Ganj,243501
14161,India,Uttar Pradesh,Bareilly,Mohammadpur Pathra,243301
14162,India,Uttar Pradesh,Bareilly,Mohanpur,243123
14163,India,Uttar Pradesh,Bareilly,Mundia Ahamad Nagar,243122
14164,India,Uttar Pradesh,Bareilly,Mundia Bhikampur,243407
14165,India,Uttar Pradesh,Bareilly,Mundia Jagir,243203
14166,India,Uttar Pradesh,Bareilly,Mundia Nabi Bux,243201
14167,India,Uttar Pradesh,Bareilly,Mundia Teli,262406
14168,India,Uttar Pradesh,Bareilly,Municipal Board,243001
14169,India,Uttar Pradesh,Bareilly,Nadeli,243201
14170,India,Uttar Pradesh,Bareilly,Nagaria Kalan,243506
14171,India,Uttar Pradesh,Bareilly,Nagaria Sobarni,243505
14172,India,Uttar Pradesh,Bareilly,Nagaria Vikram,243503
14173,India,Uttar Pradesh,Bareilly,Nandausi,243502
14174,India,Uttar Pradesh,Bareilly,Narharpur Gaurikhera,262406
14175,India,Uttar Pradesh,Bareilly,Narkhera,243505
14176,India,Uttar Pradesh,Bareilly,Naugawan Bramhanan,243302
14177,India,Uttar Pradesh,Bareilly,Naugawan Thakuran,243402
14178,India,Uttar Pradesh,Bareilly,Naurangpur,243402
14179,India,Uttar Pradesh,Bareilly,Nawabganj,262406
14180,India,Uttar Pradesh,Bareilly,Nawada Bilsandi,243503
14181,India,Uttar Pradesh,Bareilly,Nazarganj,243201
14182,India,Uttar Pradesh,Bareilly,Nc Lines Bareilly,243001
14183,India,Uttar Pradesh,Bareilly,Ner Workshop,243122
14184,India,Uttar Pradesh,Bareilly,Nisui,243302
14185,India,Uttar Pradesh,Bareilly,Noorpur,243301
14186,India,Uttar Pradesh,Bareilly,Nrmc,243122
14187,India,Uttar Pradesh,Bareilly,Old City,243005
14188,India,Uttar Pradesh,Bareilly,P.A.C.Dso,243123
14189,India,Uttar Pradesh,Bareilly,Pachdeora Kalan,243202
14190,India,Uttar Pradesh,Bareilly,Pachomi,243503
14191,India,Uttar Pradesh,Bareilly,Pachpera,243201
14192,India,Uttar Pradesh,Bareilly,Padarathpur,243123
14193,India,Uttar Pradesh,Bareilly,Paiga,243407
14194,India,Uttar Pradesh,Bareilly,Parasrampur,262406
14195,India,Uttar Pradesh,Bareilly,Phulasi,243301
14196,India,Uttar Pradesh,Bareilly,Pindari Ashok,243201
14197,India,Uttar Pradesh,Bareilly,Piperthara,243503
14198,India,Uttar Pradesh,Bareilly,Prem Nagar,243005
14199,India,Uttar Pradesh,Bareilly,Qadarganj,243503
14200,India,Uttar Pradesh,Bareilly,R.K.University,243006
14201,India,Uttar Pradesh,Bareilly,Raipur Hans,243503
14202,India,Uttar Pradesh,Bareilly,Rajau Paraspur,243123
14203,India,Uttar Pradesh,Bareilly,Rajendra Nagar,243122
14204,India,Uttar Pradesh,Bareilly,Rajupur,243401
14205,India,Uttar Pradesh,Bareilly,Rajupur Kalan,243302
14206,India,Uttar Pradesh,Bareilly,Ram Nagar,243303
14207,India,Uttar Pradesh,Bareilly,Rampura Ratan,243503
14208,India,Uttar Pradesh,Bareilly,Rasoolpur,243201
14209,India,Uttar Pradesh,Bareilly,Rath,243201
14210,India,Uttar Pradesh,Bareilly,Ratna,243407
14211,India,Uttar Pradesh,Bareilly,Rehpura Ganimat,243203
14212,India,Uttar Pradesh,Bareilly,Reoti,243301
14213,India,Uttar Pradesh,Bareilly,Richha,243201
14214,India,Uttar Pradesh,Bareilly,Rithora,243122
14215,India,Uttar Pradesh,Bareilly,Rohili,243203
14216,India,Uttar Pradesh,Bareilly,Rukumpur,262406
14217,India,Uttar Pradesh,Bareilly,Sadar Bazar,243001
14218,India,Uttar Pradesh,Bareilly,Sahasa,243302
14219,India,Uttar Pradesh,Bareilly,Sahora,243505
14220,India,Uttar Pradesh,Bareilly,Saidpur Hakins,243122
14221,India,Uttar Pradesh,Bareilly,Samaspur,243504
14222,India,Uttar Pradesh,Bareilly,Sarai Talfi,243004
14223,India,Uttar Pradesh,Bareilly,Sarau,243402
14224,India,Uttar Pradesh,Bareilly,Sardar Nagar Ghat,243402
14225,India,Uttar Pradesh,Bareilly,Sardarnagar,262406
14226,India,Uttar Pradesh,Bareilly,Sarkara,243503
14227,India,Uttar Pradesh,Bareilly,Senthal,243407
14228,India,Uttar Pradesh,Bareilly,Shahi,243505
14229,India,Uttar Pradesh,Bareilly,Shahpur Baniyan,243506
14230,India,Uttar Pradesh,Bareilly,Shamat Ganj,243005
14231,India,Uttar Pradesh,Bareilly,Sharif Nagar,243201
14232,India,Uttar Pradesh,Bareilly,Sheeshgarh,243505
14233,India,Uttar Pradesh,Bareilly,Shehdana Colony,243003
